FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_ESTADUAIS.1,POINT (605597.79346561 7799348.43003345),ESCOLAS_ESTADUAIS.987.Estadual.ESCOLA ESTADUAL URSULINA DE ANDRADE MELO,987,ESCOLA ESTADUAL URSULINA DE ANDRADE MELO,Estadual,RUA,FLOR DE VIDRO,251,,Jardim Alvorada,PAMPULHA
ESCOLAS_ESTADUAIS.2,POINT (611451.41695928 7810083.79107772),ESCOLAS_ESTADUAIS.941.Estadual.ESCOLA ESTADUAL PASCHOAL COMANDUCCI,941,ESCOLA ESTADUAL PASCHOAL COMANDUCCI,Estadual,RUA,JOAO NASCIMENTO PIRES,240,,Jaqueline,NORTE
ESCOLAS_ESTADUAIS.3,POINT (610325.41643383 7793624.64381155),ESCOLAS_ESTADUAIS.920.Estadual.ESCOLA ESTADUAL DONA AUGUSTA GONCALVES NOGUEIRA,920,ESCOLA ESTADUAL DONA AUGUSTA GONCALVES NOGUEIRA,Estadual,RUA,COPERNICO PINTO COELHO,13,,Vila Barragem Santa Lúcia,CENTRO-SUL
ESCOLAS_ESTADUAIS.4,POINT (605727.17832516 7789356.6204075),ESCOLAS_ESTADUAIS.906.Estadual.ESCOLA ESTADUAL PROFESSORA MARIA BELMIRA TRINDADE,906,ESCOLA ESTADUAL PROFESSORA MARIA BELMIRA TRINDADE,Estadual,RUA,CLEMENTINA DE JESUS,99,,Flávio Marques Lisboa,BARREIRO
ESCOLAS_ESTADUAIS.5,POINT (609749.67240759 7796629.87825577),ESCOLAS_ESTADUAIS.133.Estadual.ESCOLA ESTADUAL PESTALOZZI,133,ESCOLA ESTADUAL PESTALOZZI,Estadual,RUA,DOS TIMBIRAS,3080,,Barro Preto,CENTRO-SUL
ESCOLAS_ESTADUAIS.6,POINT (608148.18945522 7805915.79946034),ESCOLAS_ESTADUAIS.968.Estadual.ESCOLA ESTADUAL JOSE HEILBUTH GONCALVES,968,ESCOLA ESTADUAL JOSE HEILBUTH GONCALVES,Estadual,AVE,DOM PEDRO I,527,,Santa Branca,PAMPULHA
ESCOLAS_ESTADUAIS.7,POINT (606154.62960512 7795755.39208664),ESCOLAS_ESTADUAIS.1033.Estadual.ESCOLA ESTADUAL PROFESSOR LEON RENAULT,1033,ESCOLA ESTADUAL PROFESSOR LEON RENAULT,Estadual,AVE,AMAZONAS,5855,,Gameleira,OESTE
ESCOLAS_ESTADUAIS.8,POINT (605659.96695349 7795627.39752379),ESCOLAS_ESTADUAIS.1209.Estadual.COLEGIO TIRADENTES PMMG GAMELEIRA,1209,COLEGIO TIRADENTES PMMG GAMELEIRA,Estadual,AVE,AMAZONAS,6455,,Gameleira,OESTE
ESCOLAS_ESTADUAIS.9,POINT (606930.04005555 7796001.53319335),ESCOLAS_ESTADUAIS.593.Estadual.ESCOLA ESTADUAL MAURICIO MURGEL,593,ESCOLA ESTADUAL MAURICIO MURGEL,Estadual,AVE,AMAZONAS,5154,,Nova Suissa,OESTE
ESCOLAS_ESTADUAIS.10,POINT (599689.92396434 7791089.64728063),ESCOLAS_ESTADUAIS.144.Estadual.ESCOLA ESTADUAL PADRE JOAO BOSCO PENIDO BURNIER,144,ESCOLA ESTADUAL PADRE JOAO BOSCO PENIDO BURNIER,Estadual,RUA,DAS PERPETUAS,79,,Lindéia,BARREIRO
ESCOLAS_ESTADUAIS.11,POINT (613528.34339174 7800672.02656644),ESCOLAS_ESTADUAIS.518.Estadual.ESCOLA ESTADUAL TECNICO INDUSTRIAL PROFESSOR FONTES,518,ESCOLA ESTADUAL TECNICO INDUSTRIAL PROFESSOR FONTES,Estadual,RUA,SETE,500,,Horto Florestal,LESTE
ESCOLAS_ESTADUAIS.12,POINT (613539.39290632 7800828.47555771),ESCOLAS_ESTADUAIS.517.Estadual.ESCOLA ESTADUAL PRESIDENTE DUTRA,517,ESCOLA ESTADUAL PRESIDENTE DUTRA,Estadual,RUA,SETE,400,,Horto Florestal,LESTE
ESCOLAS_ESTADUAIS.13,POINT (611028.52797461 7801055.42094803),ESCOLAS_ESTADUAIS.505.Estadual.ESCOLA ESTADUAL SANTO AFONSO,505,ESCOLA ESTADUAL SANTO AFONSO,Estadual,AVE,BERNARDO DE VASCONCELOS,1334,,Renascença,NORDESTE
ESCOLAS_ESTADUAIS.14,POINT (607157.71683865 7792744.77865498),ESCOLAS_ESTADUAIS.917.Estadual.ESCOLA ESTADUAL DOUTOR SIMAO TAMM BIAS FORTES,917,ESCOLA ESTADUAL DOUTOR SIMAO TAMM BIAS FORTES,Estadual,RUA,MARIA BEATRIZ,1200,,Havaí,OESTE
