FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1,POINT (605670.35584536 7788928.58525555),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI JOSÉ ISIDORO FILHO,0,EMEI JOSÉ ISIDORO FILHO,Umei,RUA,ATLANTA,42,,Esperança,BARREIRO
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.2,POINT (600809.9319131 7787716.7761057),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI JATOBÁ IV,0,EMEI JATOBÁ IV,Umei,AVE,AGENOR NONATO DE SOUZA,8,,Vale do Jatobá,BARREIRO
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.3,POINT (609656.75787155 7797611.42372895),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI CARLOS PRATES,0,EMEI CARLOS PRATES,Umei,AVE,NOSSA SENHORA DE FATIMA,2283,,Carlos Prates,NOROESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.4,POINT (612110.49678504 7807677.59835235),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI SOLIMÕES,0,EMEI SOLIMÕES,Umei,RUA,WALDEMAR CANDIDO RODRIGUES,244,,Jardim Felicidade,NORTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.5,POINT (604568.76739647 7791996.51269081),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI BAIRRO DAS INDÚSTRIAS,0,EMEI BAIRRO DAS INDÚSTRIAS,Umei,RUA,IRMA MARIA PAULA,238,,Bairro das Indústrias I,BARREIRO
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.6,POINT (613829.75624519 7806518.14788337),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI LAJEDO,0,EMEI LAJEDO,Umei,RUA,PINTOR RUGENDAS,7,,Lajedo,NORTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.7,POINT (613687.04402709 7802384.35717269),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI SÃO MARCOS,0,EMEI SÃO MARCOS,Umei,RUA,SANTO ALBERTO,10,,Fernão Dias,NORDESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.8,POINT (617245.50849314 7805781.84329188),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI JARDIM VITÓRIA III,0,EMEI JARDIM VITÓRIA III,Umei,RUA,BERENICE RIBEIRO DE MIRANDA,240,,Jardim Vitória,NORDESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.9,POINT (611784.22242601 7800719.0675006),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI IPIRANGA,0,EMEI IPIRANGA,Umei,RUA,DOM CABRAL,133,,Ipiranga,NORDESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.10,POINT (616832.4635294 7804909.53623497),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI VILA MARIA,0,EMEI VILA MARIA,Umei,RUA,ZELIA JACINTA DA COSTA,7,,Jardim Vitória,NORDESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.11,POINT (607671.36193107 7795749.13311467),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI VILA CALAFATE,0,EMEI VILA CALAFATE,Umei,RUA,CONTENDAS,254,,Alto Barroca,OESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.12,POINT (604368.36394825 7796069.52007303),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI PITUCHINHA,0,EMEI PITUCHINHA,Umei,RUA,MARQUES DO LAVRADIO,619,,João Pinheiro,NOROESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.13,POINT (602472.02414546 7798078.06224102),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI PINDORAMA,0,EMEI PINDORAMA,Umei,RUA,GUARARAPES,1850,,Pindorama,NOROESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.14,POINT (610933.11484896 7801443.30408642),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI SANTA CRUZ,0,EMEI SANTA CRUZ,Umei,RUA,ESTER DE LIMA,241,,Santa Cruz,NORDESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.15,POINT (614638.72725213 7805261.9467241),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI OURO MINAS,0,EMEI OURO MINAS,Umei,RUA,DAS URSULINAS,98,,Ouro Minas,NORDESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.16,POINT (612907.95633134 7805044.90999578),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI AARÃO REIS,0,EMEI AARÃO REIS,Umei,RUA,TRES,25,,São Gonçalo,NORTE
