FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1,POINT (616955.36876854 7806622.90664961),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.52.Municipal.ESCOLA MUNICIPAL SOBRAL PINTO,52,ESCOLA MUNICIPAL SOBRAL PINTO,Municipal,RUA,DAS ALMAS,120,,Conjunto Paulo VI,NORDESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.2,POINT (618552.30892515 7806911.51920479),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.70.Municipal.ESCOLA MUNICIPAL GOVERNADOR OZANAM COELHO,70,ESCOLA MUNICIPAL GOVERNADOR OZANAM COELHO,Municipal,RUA,ANGELA BENAREGES,14,,Conjunto Capitão Eduardo,NORDESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.3,POINT (608664.27593847 7808237.85781606),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.259.Municipal.ESCOLA MUNICIPAL ANTONIA FERREIRA,259,ESCOLA MUNICIPAL ANTONIA FERREIRA,Municipal,RUA,JOAO GUALBERTO DE ABREU,10,,São João Batista,VENDA NOVA
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.4,POINT (616777.9323129 7797380.04853059),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.213.Municipal.ESCOLA MUNICIPAL PROFESSORA ALCIDA TORRES,213,ESCOLA MUNICIPAL PROFESSORA ALCIDA TORRES,Municipal,RUA,ALVARO FERNANDES,144,,Taquaril,LESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.5,POINT (608100.63567116 7788238.31766051),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.87.Municipal.ESCOLA MUNICIPAL PEDRO NAVA,87,ESCOLA MUNICIPAL PEDRO NAVA,Municipal,RUA,SAO PEDRO DA ALDEIA,45,,Serra do Curral,BARREIRO
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.6,POINT (616892.60893802 7804215.10385386),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.54.Municipal.ESCOLA MUNICIPAL PREFEITO SOUZA LIMA,54,ESCOLA MUNICIPAL PREFEITO SOUZA LIMA,Municipal,RUA,DOS PARAGUAIOS,97,,Jardim Vitória,NORDESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.7,POINT (614667.71140909 7804308.72563638),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.612.Municipal.ESCOLA MUNICIPAL PROFESSOR EDGAR DA MATTA MACHADO,612,ESCOLA MUNICIPAL PROFESSOR EDGAR DA MATTA MACHADO,Municipal,RUA,PENALVA,201,,Dom Silvério,NORDESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.8,POINT (607727.36198777 7811514.55856883),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.222.Municipal.ESCOLA MUNICIPAL GRACY VIANNA LAGE,222,ESCOLA MUNICIPAL GRACY VIANNA LAGE,Municipal,RUA,JOAO SOARES LEAL,23,,Jardim dos Comerciários,VENDA NOVA
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.9,POINT (602400.39229405 7799466.74701923),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.523.Municipal.ESCOLA MUNICIPAL PADRE EDEIMAR MASSOTE,523,ESCOLA MUNICIPAL PADRE EDEIMAR MASSOTE,Municipal,RUA,ENEIDA,1485,,Coqueiros,NOROESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.10,POINT (604582.47757926 7802474.00070735),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.469.Municipal.ESCOLA MUNICIPAL SANTA TEREZINHA,469,ESCOLA MUNICIPAL SANTA TEREZINHA,Municipal,RUA,CONCEICAO DA APARECIDA,400,,Santa Terezinha,PAMPULHA
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.11,POINT (604398.17736968 7788874.84809659),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.241.Municipal.ESCOLA MUNICIPAL PEDRO ALEIXO,241,ESCOLA MUNICIPAL PEDRO ALEIXO,Municipal,AVE,MENELICK DE CARVALHO,255,,Araguaia,BARREIRO
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.12,POINT (603910.03164384 7788311.12788312),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.242.Municipal.ESCOLA MUNICIPAL ANA ALVES TEIXEIRA,242,ESCOLA MUNICIPAL ANA ALVES TEIXEIRA,Municipal,RUA,BARAO DO MONTE ALTO,300,,Cardoso,BARREIRO
