FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_PARTICULARES.1,POINT (614912.63026077 7800684.97379332),ESCOLAS_PARTICULARES.2710.Particular.MUNDO CRIANÇA,2710,MUNDO CRIANÇA,Particular,RUA,PORTO SEGURO,505,,Nova Vista,LESTE
ESCOLAS_PARTICULARES.2,POINT (612153.80622225 7797290.3051547),ESCOLAS_PARTICULARES.2225.Particular.ESC CASTELINHO ENCANTADO,2225,ESC CASTELINHO ENCANTADO,Particular,RUA,MARECHAL DEODORO,160,,Floresta,CENTRO-SUL
ESCOLAS_PARTICULARES.3,POINT (608776.37436538 7801573.76326922),ESCOLAS_PARTICULARES.2069.Particular.COLEGIO ADVENTISTA DE BELO HORIZONTE,2069,COLEGIO ADVENTISTA DE BELO HORIZONTE,Particular,RUA,AVEIRO,367,,São Francisco,PAMPULHA
ESCOLAS_PARTICULARES.4,POINT (608058.22729395 7796778.40934961),ESCOLAS_PARTICULARES.2087.Particular.COLEGIO NOSSA SENHORA DA PIEDADE,2087,COLEGIO NOSSA SENHORA DA PIEDADE,Particular,RUA,MONSENHOR DOMINGOS PINHEIRO,35,,Calafate,OESTE
ESCOLAS_PARTICULARES.5,POINT (608792.09919045 7803735.50325331),ESCOLAS_PARTICULARES.2672.Particular.COL CHROMOS PAMPULHA - N EDUC N SRA FATIMA,2672,COL CHROMOS PAMPULHA - N EDUC N SRA FATIMA,Particular,AVE,ANTONIO ABRAHAO CARAM,60,,São José,PAMPULHA
ESCOLAS_PARTICULARES.6,POINT (609337.76793673 7810159.93557873),ESCOLAS_PARTICULARES.2390.Particular.INST PEDAG GENESIS,2390,INST PEDAG GENESIS,Particular,AVE,NENEM LARA ROCHA,185,,Serra Verde,VENDA NOVA
ESCOLAS_PARTICULARES.7,POINT (604389.14817017 7805237.32756132),ESCOLAS_PARTICULARES.2818.Particular.COLÉGIO M2 - BH,2818,COLÉGIO M2 - BH,Particular,RUA,DONA CHIQUITA DE CASTRO,205,,Braúnas,PAMPULHA
ESCOLAS_PARTICULARES.8,POINT (604401.22008622 7800065.85020055),ESCOLAS_PARTICULARES.2551.Particular.TEMPO DE APRENDER,2551,TEMPO DE APRENDER,Particular,RUA,DOS AGRONOMOS,85,,Alípio de Melo,PAMPULHA
ESCOLAS_PARTICULARES.9,POINT (617132.77894167 7796863.79197022),ESCOLAS_PARTICULARES.2233.Particular.COLEGIO SANTA MARIA PROVIDENCIA - CONJUNTO TAQUARIL,2233,COLEGIO SANTA MARIA PROVIDENCIA - CONJUNTO TAQUARIL,Particular,RUA,ALAIR PEREIRA DA SILVA,100,,Conjunto Taquaril,LESTE
ESCOLAS_PARTICULARES.10,POINT (614806.89837864 7806530.79427992),ESCOLAS_PARTICULARES.2293.Particular.INSTITUTO EDUCACIONAL ANNI,2293,INSTITUTO EDUCACIONAL ANNI,Particular,RUA,FREI LUIZ DE RAVENA,21,,Ribeiro de Abreu,NORDESTE
ESCOLAS_PARTICULARES.11,POINT (606929.52788087 7809509.26802023),ESCOLAS_PARTICULARES.2476.Particular.INSTITUTO DE EDUCACAO MONTEIRO LOBATO,2476,INSTITUTO DE EDUCACAO MONTEIRO LOBATO,Particular,RUA,DOUTOR PEDRO RUELA,731,,Letícia,VENDA NOVA
ESCOLAS_PARTICULARES.12,POINT (612627.0352264 7799317.45253472),ESCOLAS_PARTICULARES.2345.Particular.ESC INF PEQUENOS GENIOS,2345,ESC INF PEQUENOS GENIOS,Particular,RUA,GODOFREDO DE ARAUJO,324,,Sagrada Família,LESTE
ESCOLAS_PARTICULARES.13,POINT (603796.89040361 7799057.23550115),ESCOLAS_PARTICULARES.2160.Particular.COL ABGAR RENAULT UNID GLORIA,2160,COL ABGAR RENAULT UNID GLORIA,Particular,RUA,ENEAS,58,,Glória,NOROESTE
ESCOLAS_PARTICULARES.14,POINT (603658.00564814 7799099.75684605),ESCOLAS_PARTICULARES.2567.Particular.INSTITUTO EDUCACIONAL PRINCIPE FELIZ,2567,INSTITUTO EDUCACIONAL PRINCIPE FELIZ,Particular,RUA,ENEIDA,271,,Glória,NOROESTE
